date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2020/2/24,74.315002,76.044998,72.307503,74.544998,222195200,73.480522
2020/2/21,79.654999,80.112503,77.625,78.262497,129554000,77.144943
2020/2/20,80.657501,81.162498,79.552498,80.074997,100566000,78.931564
2020/2/19,80,81.142502,80,80.904999,93984000,79.749702
2020/2/18,78.839996,79.9375,78.652496,79.75,152531200,78.611198
2020/2/14,81.184998,81.495003,80.712502,81.237503,80113600,80.077461
2020/2/13,81.047501,81.555,80.837502,81.217499,94747600,80.057739
2020/2/12,80.3675,81.805,80.3675,81.800003,113730400,80.631927
2020/2/11,80.900002,80.974998,79.677498,79.902496,94323200,78.76152
2020/2/10,78.544998,80.387497,78.462502,80.387497,109348800,79.239594
2020/2/7,80.592499,80.849998,79.5,80.0075,117684000,78.865021
2020/2/6,80.642502,81.305,80.065002,81.302498,105425600,79.951775
2020/2/5,80.879997,81.190002,79.737503,80.362503,118826800,79.027405
2020/2/4,78.827499,79.910004,78.407501,79.712502,136616400,78.388199
2020/2/3,76.074997,78.372498,75.555,77.165001,173985600,75.883018
2020/1/31,80.232498,80.669998,77.072502,77.377502,199588400,76.091995
2020/1/30,80.135002,81.022499,79.6875,80.967499,126743200,79.622337
2020/1/29,81.112503,81.962502,80.345001,81.084999,216229200,79.7379
2020/1/28,78.150002,79.599998,78.047501,79.422501,162234000,78.103012
2020/1/27,77.514999,77.942497,76.220001,77.237503,161940000,75.954315
2020/1/24,80.0625,80.832497,79.379997,79.577499,146537600,78.25544
2020/1/23,79.480003,79.889999,78.912498,79.807503,104472000,78.481621
2020/1/22,79.644997,79.997498,79.327499,79.425003,101832400,78.105476
2020/1/21,79.297501,79.754997,79,79.142502,110843200,77.827667
2020/1/17,79.067497,79.684998,78.75,79.682503,137816400,78.358696
2020/1/16,78.397499,78.925003,78.022499,78.809998,108829200,77.500694
2020/1/15,77.962502,78.875,77.387497,77.834999,121923600,76.541885
2020/1/14,79.175003,79.392502,78.042503,78.169998,161954400,76.871323
2020/1/13,77.910004,79.267502,77.787498,79.239998,121532000,77.923538
2020/1/10,77.650002,78.167503,77.0625,77.582497,140644800,76.293579
2020/1/9,76.809998,77.607498,76.550003,77.407501,170108400,76.121498
2020/1/8,74.290001,76.110001,74.290001,75.797501,132079200,74.538239
2020/1/7,74.959999,75.224998,74.370003,74.597504,108872000,73.358185
2020/1/6,73.447502,74.989998,73.1875,74.949997,118387200,73.704819
2020/1/3,74.287498,75.144997,74.125,74.357498,146322800,73.122154
2020/1/2,74.059998,75.150002,73.797501,75.087502,135480400,73.840042
